0.00626042	-19.3505
0.0125208	-20.8914
0.0187813	-19.9546
0.0250417	-21.1979
0.0313021	-20.5276
0.0375625	-23.2635
0.0438229	-23.8662
0.0500834	-22.2372
0.0563438	-24.7001
0.0626042	-23.8598
0.0688646	-23.1007
0.075125	-24.5076
0.0813855	-24.612
0.0876459	-24.562
0.0939063	-26.4615
0.100167	-26.4081
0.106427	-26.0959
0.112688	-27.9979
0.118948	-25.8533
0.125208	-29.9218
0.131469	-27.8478
0.137729	-27.0798
0.14399	-28.8529
0.15025	-28.0294
0.15651	-29.3335
0.162771	-29.8185
0.169031	-29.0797
0.175292	-29.5862
0.181552	-30.8741
0.187813	-31.07
0.194073	-33.2594
0.200333	-31.7971
0.206594	-33.9011
0.212854	-33.2135
0.219115	-31.3053
0.225375	-32.6559
0.231636	-33.6075
0.237896	-34.1874
0.244156	-33.5843
0.250417	-34.4168
0.256677	-35.5987
0.262938	-34.3299
0.269198	-35.7946
0.275458	-37.0535
0.281719	-37.4558
0.287979	-38.6507
0.29424	-36.573
0.3005	-37.3506
0.306761	-37.9199
0.313021	-37.4126
0.319281	-38.5939
0.325542	-38.2424
0.331802	-39.6323
0.338063	-39.0118
0.344323	-38.6814
0.350584	-40.4936
0.356844	-40.2659
0.363104	-40.5994
0.369365	-40.5929
0.375625	-41.4224
0.381886	-42.5543
0.388146	-42.5799
0.394406	-42.3059
0.400667	-41.7714
0.406927	-41.8494
0.413188	-44.2387
0.419448	-45.0022
0.425709	-42.3893
0.431969	-42.6513
0.438229	-47.3053
0.44449	-44.2134
0.45075	-43.7461
0.457011	-45.3767
0.463271	-43.311
0.469531	-46.1248
0.475792	-44.8447
0.482052	-48.9477
0.488313	-48.064
0.494573	-46.297
0.500834	-46.9793
0.507094	-46.5731
0.513354	-49.7879
0.519615	-49.3809
0.525875	-50.6064
0.532136	-50.9433
0.538396	-49.0144
0.544657	-49.1999
0.550917	-45.4737
0.557177	-48.7162
0.563438	-45.4576
0.569698	-48.5656
0.575959	-50.6098
0.582219	-49.43
0.588479	-52.9561
0.59474	-49.6196
0.601	-53.6452
0.607261	-53.6696
0.613521	-54.4003
0.619782	-54.3675
0.626042	-49.0528
0.632302	-52.9192
0.638563	-52.5425
0.644823	-55.2586
0.651084	-55.7449
0.657344	-49.1031
0.663605	-49.5387
0.669865	-41.649
0.676125	-44.8413
0.682386	-41.4869
0.688646	-39.5614
0.694907	-52.5139
0.701167	-42.8236
0.707427	-38.5324
0.713688	-44.5775
0.719948	-38.0293
0.726209	-52.5931
0.732469	-46.2692
0.73873	-48.6946
0.74499	-51.8988
0.75125	-51.2143
0.757511	-55.8173
0.763771	-57.811
0.770032	-59.9295
0.776292	-59.4053
0.782552	-60.9314
0.788813	-46.2057
0.795073	-48.7131
0.801334	-41.0679
0.807594	-49.8483
0.813855	-43.6905
0.820115	-45.6539
0.826375	-52.4409
0.832636	-43.5468
0.838896	-51.2171
0.845157	-50.5169
0.851417	-53.7894
0.857678	-56.7279
0.863938	-50.0277
0.870198	-52.8879
0.876459	-51.9021
0.882719	-47.6444
0.88898	-51.9287
0.89524	-50.3437

